product_id,product_title,rating,total_reviews,price,top_reviews
itm3dd39c0d1ec9c,"Samsung Galaxy S23 FE (Graphite, 256 GB)",4.4,"4,432","₹37,999","5 Awesome Camera quality is amazing READ MORE Devesh Kumar Certified Buyer , Jaipur Jul, 2024 2618 543 Permalink Report Abuse || 5 Great product I was confused while searching this phone everyone tell battery and heating issue. Still i ordered this phone and after using 10 days there is no heating issue. Yes agree with the battery drain, i can say battery can be more improve by Samsung but for me normal tasking like social media and phone calls it lasts by 12-14 hrs. So its normal for everyone. You can charge your phone morning and once at night simple. Charging is also good. 30-40 mints your phone will be full charge. If you are not ... READ MORE manish bisen Certified Buyer , Bhopal 9 months ago 643 130 Permalink Report Abuse || 4 Delightful Camera and display is superb 👌 But bettary is a drawback , could be better. Heating is a issue with it. Over all phone is awesome except bettary and heating. One star cut for that. READ MORE Flipkart Customer Certified Buyer , Morbi May, 2024 525 118 Permalink Report Abuse"
itm7cdd081996dc8,"Samsung Galaxy S23 5G (Green, 128 GB)",4.6,"5,414","₹44,999",No reviews found
